Col0,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15
-0.0086817089089092,-0.0161696401960401,-0.023657571483171,-0.031145502770301904,-0.0386334340574328,-0.0461213653445637,-0.05938838227160009,-0.07265539919863646,-0.08592241612567283,-0.09918943305270922,-0.1124564499797456,-0.12669261480600588,-0.14092877963226616,-0.1551649444585264,-0.16940110928478666,-0.1836372741110469
-0.2494762754734121,-0.26005498953978434,-0.2706337036061566,-0.2812124176725288,-0.291791131738901,-0.3023698458052732,-0.30497401087300735,-0.30757817594074144,-0.3101823410084756,-0.31278650607620967,-0.3153906711439438,-0.30863157731875,-0.3018724834935563,-0.29511338966836254,-0.28835429584316874,-0.281595202017975
-0.2380750059061931,-0.23386645121392566,-0.22965789652165822,-0.22544934182939078,-0.22124078713712333,-0.2170322324448559,-0.21508172184901964,-0.21313121125318338,-0.21118070065734712,-0.20923019006151086,-0.2072796794656746,-0.20405869783887987,-0.20083771621208513,-0.1976167345852904,-0.19439575295849565,-0.1911747713317009
-0.1795022520380342,-0.17968839075072005,-0.1798745294634059,-0.1800606681760918,-0.18024680688877764,-0.1804329456014635,-0.1791724250370997,-0.17791190447273592,-0.1766513839083721,-0.1753908633440083,-0.1741303427796445,-0.16927943971551251,-0.16442853665138052,-0.15957763358724855,-0.15472673052311656,-0.1498758274589846
-0.1308264364956137,-0.13092892141698081,-0.13103140633834795,-0.13113389125971506,-0.1312363761810822,-0.1313388611024493,-0.13072916481632857,-0.13011946853020787,-0.12950977224408713,-0.12890007595796643,-0.1282903796718457,-0.12367876156946801,-0.11906714346709034,-0.11445552536471267,-0.10984390726233498,-0.1052322891599573
-0.0847673189775832,-0.08486296194992768,-0.08495860492227215,-0.08505424789461664,-0.08514989086696112,-0.0852455338393056,-0.0853928414119934,-0.0855401489846812,-0.08568745655736901,-0.0858347641300568,-0.0859820717027446,-0.08244796570972138,-0.07891385971669816,-0.07537975372367495,-0.07184564773065172,-0.0683115417376285
-0.0508273070331952,-0.0508133805084028,-0.050799453983610396,-0.050785527458818,-0.0507716009340256,-0.0507576744092332,-0.05063528974065426,-0.05051290507207532,-0.050390520403496376,-0.05026813573491744,-0.0501457510663385,-0.0467866875731658,-0.043427624079993093,-0.0400685605868204,-0.036709497093647694,-0.033350433600475
-0.0188909980672491,-0.0194264033944648,-0.0199618087216805,-0.0204972140488962,-0.0210326193761119,-0.0215680247033276,-0.02161070021053316,-0.021653375717738718,-0.02169605122494428,-0.021738726732149837,-0.0217814022393554,-0.018321739323036434,-0.014862076406717474,-0.011402413490398517,-0.007942750574079555,-0.0044830876577606
0.0100920466227307,0.00930217284890766,0.00851229907508462,0.00772242530126158,0.006932551527438539,0.0061426777536155,0.00569534846810594,0.0052480191825963795,0.00480068989708682,0.00435336061157726,0.0039060313260677,0.0071076110304147625,0.010309190734761825,0.01351077043910888,0.016712350143455942,0.019913929847803
0.0344656013624842,0.0337455646194911,0.033025527876498,0.0323054911335049,0.0315854543905118,0.0308654176475187,0.03033429443578652,0.02980317122405434,0.02927204801232216,0.02874092480058998,0.0282098015888578,0.031099580717366782,0.03398935984587576,0.03687913897438474,0.03976891810289372,0.0426586972314027
0.0550972500966366,0.054069525901678545,0.05304180170672048,0.05201407751176242,0.05098635331680436,0.0499586291218463,0.04932637771835852,0.048694126314870745,0.04806187491138296,0.04742962350789518,0.0467973721044074,0.04959664518738115,0.05239591827035489,0.05519519135332862,0.057994464436302365,0.0607937375192761
0.0717298794687621,0.0702562886282748,0.06878269778778749,0.0673091069473002,0.0658355161068129,0.0643619252663256,0.06339072362574703,0.06241952198516848,0.06144832034458992,0.06047711870401136,0.0595059170634328,0.0622071666608803,0.0649084162583278,0.0676096658557753,0.07031091545322281,0.0730121650506703
0.0841148414562837,0.08258934971168506,0.08106385796708643,0.07953836622248778,0.07801287447788914,0.0764873827332905,0.07530024464856516,0.07411310656383982,0.07292596847911448,0.07173883039438914,0.0705516923096638,0.0730190375076631,0.07548638270566241,0.0779537279036617,0.08042107310166101,0.0828884182996603
0.0935474974121746,0.09204511466996904,0.09054273192776348,0.08904034918555792,0.08753796644335236,0.0860355837011468,0.08483831192535829,0.08364104014956976,0.08244376837378124,0.08124649659799271,0.0800492248222042,0.08241239348009229,0.08477556213798036,0.08713873079586844,0.08950189945375653,0.0918650681116446
0.10173241127805,0.10008819708561417,0.09844398289317835,0.09679976870074254,0.09515555450830672,0.0935113403158709,0.09224080197706708,0.09097026363826326,0.08969972529945944,0.08842918696065562,0.0871586486218518,0.08948163125256764,0.09180461388328348,0.09412759651399932,0.09645057914471517,0.098773561775431
0.1080797083654943,0.10622822018076476,0.10437673199603523,0.10252524381130568,0.10067375562657614,0.0988222674418466,0.09733673889080588,0.09585121033976517,0.09436568178872444,0.09288015323768373,0.091394624686643,0.09354459972147988,0.09569457475631676,0.09784454979115365,0.09999452482599051,0.1021444998608274
